zpid,id,lotId,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,availabilityCount,canSaveBuilding,has3DModel,isFeaturedListing,isShowcaseListing,isSaved,list,relaxed,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate
25.980246--80.34256,25.980246--80.34256,2093516832.0,FOR_RENT,Alexan Miramar,/apartments/miramar-fl/alexan-miramar/9Q9bNK/,"{'latitude': 25.980246, 'longitude': -80.34256}","[{'price': '$2,550+', 'beds': '2'}, {'price': '$3,070+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Alexan Miramar,True,"3100 SW 145th Ave, Hollywood, FL",3100 SW 145th Ave  # 2215,FL,Hollywood,33027,1hhbf2x7gum4y,247.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
2055229684,2055229684,,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/19580-W-Dixie-Hwy-D9BA38D55-Miami-FL-33180/2055229684_zpid/,"{'latitude': 25.95654, 'longitude': -80.14765}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"Waterford Aventura, 19580 W Dixie Hwy, Miami, FL 33180",19580 W Dixie Hwy #D9BA38D55,FL,Miami,33180,5prm7c9vmhyd,,,False,True,False,False,True,False,$,"$2,855+/mo",2855.0,False,2.0,2.0,,False,"{'homeInfo': {'zpid': 2055229684, 'streetAddress': '19580 W Dixie Hwy #D9BA38D55', 'zipcode': '33180', 'city': 'Miami', 'state': 'FL', 'latitude': 25.95654, 'longitude': -80.14765, 'price': 2855.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2855.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# d9ba38d55', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,
25.732807--80.30778,25.732807--80.30778,2413566197.0,FOR_RENT,Windsor Ludlam Trail,/apartments/miami-fl/windsor-ludlam-trail/BXfyk2/,"{'latitude': 25.732807, 'longitude': -80.30778}","[{'price': '$3,460+', 'beds': '2'}, {'price': '$3,685+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Windsor Ludlam Trail,True,"7004 SW 40th St, Miami, FL",7004 SW 40th St   # 254,FL,Miami,33155,58gr8c9cf6kd2,8.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
26.027853--80.24646,26.027853--80.24646,2343919163.0,FOR_RENT,Ventura Pointe Apartments,/apartments/pembroke-pines-fl/ventura-pointe-apartments/BJZzDy/,"{'latitude': 26.027853, 'longitude': -80.24646}","[{'price': '$2,686+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Ventura Pointe Apartments,True,"7850 Pasadena Blvd, Hollywood, FL",7850 Pasadena Blvd # 302,FL,Hollywood,33024,29b1ne9zn8sec,3.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.77403--80.32909,25.77403--80.32909,2592498815.0,FOR_RENT,Park 82nd Apartments,/apartments/doral-fl/park-82nd-apartments/CBhsx6/,"{'latitude': 25.77403, 'longitude': -80.32909}","[{'price': '$3,130+', 'beds': '2'}, {'price': '$3,830+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Park 82nd Apartments,True,"8255 Park Blvd, Miami, FL",8255 Park Blvd # e8545fb73,FL,Miami,33126,3c0mg7qr1nu7c,0.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
2079463688,2079463688,,FOR_RENT,Apartment for rent,https://www.zillow.com/apartments/miami-lakes-fl/executive-apartments/5XhxKN/,"{'latitude': 25.912596, 'longitude': -80.320786}",,"{'type': 'TIME_ON_INFO', 'text': '23 days ago', 'data': {'isFresh': False}}",,,,"Executive Apartments, 7501 Miami Lakes Dr #625, Hialeah, FL 33014",7501 Miami Lakes Dr #625,FL,Hialeah,33014,36146uyd1rcg2,,,False,True,False,False,True,False,$,"$2,440/mo",2440.0,False,2.0,2.0,836.0,False,"{'homeInfo': {'zpid': 2079463688, 'streetAddress': '7501 Miami Lakes Dr #625', 'zipcode': '33014', 'city': 'Hialeah', 'state': 'FL', 'latitude': 25.912596, 'longitude': -80.320786, 'price': 2440.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 836.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2160, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2440.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 625', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,2023-11-15 00:00:00
25.927767--80.23915,25.927767--80.23915,2093608209.0,FOR_RENT,Oak Enclave,/apartments/miami-gardens-fl/oak-enclave/9QBNR9/,"{'latitude': 25.927767, 'longitude': -80.23915}","[{'price': '$2,325+', 'beds': '2'}, {'price': '$3,020+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Oak Enclave,True,"2301 NW 167th St, Miami Gardens, FL",2301 NW 167th St   # 315,FL,Miami Gardens,33056,2dtqfttyy5nen,17.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.924301--80.35678,25.924301--80.35678,2449979416.0,FOR_RENT,Atlantico at Aquabella,/apartments/hialeah-fl/atlantico-at-aquabella/BfzTZw/,"{'latitude': 25.924301, 'longitude': -80.35678}","[{'price': '$2,860+', 'beds': '2'}, {'price': '$3,278+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Atlantico at Aquabella,True,"11181 W 35th Way, Hialeah, FL",11181 W  35th Way  # 409,FL,Hialeah,33018,rum8jzzqh28z,1.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.980934--80.303055,25.980934--80.303055,1045079548.0,FOR_RENT,Grand Riviera Miramar,/apartments/miramar-fl/grand-riviera-miramar/5hJ3S4/,"{'latitude': 25.980934, 'longitude': -80.303055}","[{'price': '$2,699+', 'beds': '2'}, {'price': '$3,199+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Grand Riviera Miramar,True,"11900 SW 31st Ct, Hollywood, FL",11900 SW 31st Ct   # 9330dd2e4,FL,Hollywood,33025,2wvp77121g7ck,0.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.559114--80.364105,25.559114--80.364105,2177016358.0,FOR_RENT,Resia Old Cutler,/b/resia-old-cutler-miami-fl-9hdLMH/,"{'latitude': 25.559114, 'longitude': -80.364105}","[{'price': '$2,380+', 'beds': '2'}, {'price': '$2,590+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}","{'type': 'INCOME_RESTRICTED', 'text': 'Income Restricted'}",Resia Old Cutler,True,"22555 SW 107th Ave, Miami, FL",22555 SW 107th Ave  # 806ad2178,FL,Miami,33170,43uz8m0k5u19w,0.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
